,IRIG_TIME,Delta_Irig,ICU_EVNT_CNT,FMT_VER,POS_AOA,POS_AOSS,POS_ELEV,POS_RUD,POS_RPED,POS_AIL_L,POS_AIL_R,POS_YOKE_LAT,POS_YOKE_LON,FOR_RPED_L,FOR_RPED_R,FOR_RPED,FOR_YOKE_LAT,FOR_YOKE_LON,FF_VOL_LE,FF_VOL_RE,FF_MASS_LE,FF_MASS_RE,TMP_FT_LE,TMP_FT_RE,TORQ_LE,TORQ_RE,TORQ_LE_PSI,TORQ_RE_PSI,RPM_PROP_LE,RPM_PROP_RE,RPM_N1_LE,RPM_N1_RE,PARO_BM_TP,PARO_BM_SP,PARO_PD_TP,PARO_PD_SP,TAT_01,TAT_02,ANA_PITCH_RATE,ANA_ROLL_RATE,ANA_YAW_RATE,ANA_LAT_ACCEL,ANA_LONG_ACCEL,ANA_NORM_ACCEL,GPS_P_ALT,GPS_P_ALTM,GPS_P_ALTS,GPS_P_LAT1,GPS_P_LAT2,GPS_P_LATD,GPS_P_LON1,GPS_P_LON2,GPS_P_LOND,GPS_CTN,GPS_SPD,AHRS_MAGH,AHRS_PA,AHRS_RA,AHRS_EPRT,AHRS_ERRT,AHRS_EYRT,AHRS_BLGA,AHRS_BLTA,AHRS_BNMA,AHRS_BNMAR,AHRS_AHA,AHRS_CHA,AHRS_VA,AHRS_BPRT,AHRS_BRRT,AHRS_BYRT,ADC_ALT_29,ADC_ALT_B,ADC_IAS,ADC_MACH,ADC_TAS,ADC_VS,ADC_SAT,ADC_TAT
189,322:21:54:26.850000,1097.35,7,5,1.8524029799999973,-0.22164158999999728,-1.3000834738560254,0.5611382079718223,0.3698001350713653,0.3275592103004996,0.7132205432445922,-0.25675752465935275,2.0736521000000003,3.70691349,8.417224690000014,4.710311200000012,-57.76708294999999,-81.55861975,0.6540676462448052,-0.002995931325932719,264.7476133382203,-1.21147785662559,67.22005294224418,69.21895615784234,48.81564691999998,48.18855146000002,10.343279444099998,12.9974457984,1714.6705881397238,1711.2416176629556,87.44085400967958,86.97727361365021,18.429489135742188,17.493194580078125,18.42709350585937,17.396392822265625,267.3746015556762,252.08913364765675,-41.3571609216,-1.6243564720000023,1.073138805799999,-4.1202657206,0.1517081266,5.120502544499999,14825.787401574788,4518.9000000000015,0,35,13.399689999999998,1,118,6.552079999999999,1,358.23,162.94,340.96589608606075,7.723624378185363,-0.19226660969878212,-0.5664235358745078,-0.14453566087832267,-0.08984649189733572,0.06140324106570647,-0.0035401470992156812,0.932615131076998,-0.06299020355845833,-0.0645771660512102,-0.006714072084719395,-0.06762901699880991,-0.5664235358745078,-0.13281655323953975,-0.09375286111026335,14223,14218,146.0,0.289,185.875,1648,-0.5,4.25
190,322:21:54:27.050000,1097.55,7,5,1.81364988,-0.18280163999999746,-1.020377000876203,0.5611382079718223,0.3702571009259677,0.32967287940449985,0.709608103574241,-0.2529667595046021,2.01738497,3.664230060000001,8.380577560000006,4.716347500000005,-57.76708294999999,-81.55861975,0.6551997235241114,-0.002995931325932719,265.2058453873538,-1.21153493369248,67.22005294224418,69.12293999457822,48.71031475999999,48.16251668000001,10.337053899299999,12.995507117999999,1713.186105189113,1715.1350167930661,87.2430965770171,87.01969637849042,18.41558837890625,17.485885620117188,18.41268920898437,17.389389038085938,267.3746015556762,252.08913364765675,-41.3571609216,-1.3478218927999992,1.078148300600006,-4.117612304100001,0.15346055260000036,5.098134589299999,14825.787401574788,4518.9000000000015,0,35,13.41092,1,118,6.552499999999999,1,358.23,162.94,340.9439230945295,7.54234443189794,-0.2362132633442181,-1.2031617175817133,-0.2421948912015137,-0.05468916898098696,0.05945005645924265,-0.006591998046815407,0.909543137913144,-0.08276619769890455,-0.060792870876186525,-0.010254219183935077,-0.09057893612475984,-1.2031617175817133,-0.238288521988586,-0.0585955381939146,14229,14225,145.75,0.2885,185.75,1632,-0.5,4.25
191,322:21:54:27.250000,1097.75,7,5,1.6121337599999992,-0.17330742999999774,-0.7914122601772395,0.5621166363599537,0.3707140137426981,0.32861605635200064,0.708163049213562,-0.25675752465935275,1.9696883300000003,3.6466545300000006,8.298826270000006,4.652171740000004,-57.76708294999999,-81.55861975,0.6356686668391968,-0.002995931325932719,257.27601726169445,-1.21147785662559,67.41210048567861,69.21895615784234,48.71470359999998,48.03234278000002,10.337313296999998,12.985813716,1709.486119000054,1714.0208104157646,87.35522737009609,86.88197345994644,18.41558837890625,17.485885620117188,18.41268920898437,17.389389038085938,267.3746015556762,252.08913364765675,-41.3571609216,-1.096426820800005,1.0856625428000015,-4.1178916111,0.1569654046000002,5.052662890899999,14832.677165354316,4521.0,0,35,13.42232,1,118,6.552929999999999,1,358.23,162.6,340.93842984664667,7.240211188085568,-0.29114658040101293,-1.8164616840113528,-0.3398541215247047,-0.035157322916348765,0.05725272377697085,-0.0029297769096957365,0.876094851527451,-0.11694692831202147,-0.05371257667775516,-0.007324442274239342,-0.12134159367656508,-1.855525376140629,-0.33594775231177704,-0.0390636921292764,14235,14231,145.5,0.28800000000000003,185.4375,1632,-0.5,4.25
192,322:21:54:27.450000,1097.95,7,5,1.3873657799999997,-0.21214737999999755,-0.6653537247700289,0.567008690091723,0.37147541727053296,0.33178645651249994,0.7074405052133912,-0.25675752465935275,1.94795158,3.57635241,8.279093200000005,4.7027407900000044,-57.76708294999999,-81.55861975,0.6501358938967148,-0.002995931325932719,263.1561540199523,-1.21147785662559,67.22005294224418,69.21895615784234,48.640093319999984,48.02366452000001,10.332903536099998,12.9851674892,1719.0461727657723,1712.3522125473228,87.40872435544122,86.88197345994644,18.401687622070316,17.478591918945312,18.39788818359375,17.382293701171875,267.3746015556762,252.08913364765675,-41.3571609216,-0.9738717232000058,1.0881672902000048,-4.1188691856,0.1609959844000004,5.0015992037,14839.23884514434,4523.0,0,35,13.43351,1,118,6.55334,1,358.23,162.32,340.9329365987639,6.822717978453928,-0.3625598925748463,-2.1953794976653334,-0.390636921292764,-0.01562547685171056,0.05188146610919533,-0.0035401470992156812,0.832514419995727,-0.155522324289682,-0.047486800744651725,-0.008789330729087207,-0.16724143192846494,-2.1953794976653334,-0.3867305520798363,-0.02734458449049348,14240,14236,145.25,0.287625,185.1875,1632,-0.5,4.25
193,322:21:54:27.650000,1098.15,7,5,1.1350400399999998,-0.2043793899999997,-0.619204321533579,0.567008690091723,0.3717799374490669,0.3370699967999995,0.7052728059335625,-0.25675752465935275,1.94298318,3.50102871,8.315740330000011,4.814711620000011,-57.76708294999999,-81.55861975,0.6295881757760979,-0.002995931325932719,254.81504253489533,-1.2115920107593705,67.41210048567861,69.02692383131412,48.63570447999999,48.04536017000001,10.332644138400001,12.986783056199998,1711.7967349697233,1716.064629268293,87.38731770036124,86.91900980451861,18.401687622070316,17.478591918945312,18.39788818359375,17.382293701171875,267.3746015556762,252.08913364765675,-41.3571609216,-0.9927263536000056,1.0894196639000029,-4.113562352600001,0.1616969548,4.956716135699999,14845.800524934368,4525.0,0,35,13.444869999999998,1,118,6.55334,1,358.23,162.06,340.9329365987639,6.377758110293888,-0.4394665364543592,-2.144596697897274,-0.390636921292764,-0.00390636921292764,0.05151524399548337,-0.0031739249855037145,0.7956480605487224,-0.18506424146244732,-0.03857539597766053,-0.009277626880703164,-0.200323496200446,-2.144596697897274,-0.4062623981444745,-0.0195318460646382,14246,14242,145.25,0.28750000000000003,185.0625,1632,-0.5,4.25
194,322:21:54:27.850000,1098.35,7,5,0.9240509399999972,-0.3588760799999981,-0.6042811066426153,0.5660302911041457,0.3720844340707847,0.3402398449844997,0.7031050057347521,-0.25675752465935275,1.9417410800000003,3.4382589600000006,8.310102310000019,4.871843350000018,-57.76708294999999,-81.55861975,0.6432308340922103,-0.002995931325932719,260.36118607788103,-1.2115920107593705,67.22005294224418,69.02692383131412,48.53914999999998,48.01064713,10.326937389,12.984198149000001,1713.649729919896,1714.4848870959008,87.54812365822242,86.99317730237092,18.390396118164066,17.472198486328125,18.386688232421875,17.375198364257812,267.3746015556762,252.08913364765675,-41.3571609216,-1.086999505600005,1.0869149164999996,-4.1132830456,0.16450083640000024,4.926401670099999,14852.034120734896,4526.9000000000015,0,35,13.45602,1,118,6.55377,1,358.23,161.83,340.93842984664667,5.965758232367927,-0.5163731803338723,-1.9024018066957609,-0.32813501388592176,0.007812738425855278,0.05127109591967538,0.0006103701895199449,0.7739188818018123,-0.21460615863521268,-0.029541917172765338,-0.006347849971007429,-0.22498245185705176,-1.9024018066957609,-0.32813501388592176,-0.007812738425855278,14252,14247,145.0,0.28725,184.9375,1632,-0.5,4.0
195,322:21:54:28.050000,1098.55,7,5,0.8732413199999982,-0.41843066999999934,-0.5936176523479701,0.567008690091723,0.37238890713880224,0.3412964150479993,0.7038276170142419,-0.25675752465935275,1.9395053,3.390553950000001,8.29600726000001,4.905453310000008,-57.76708294999999,-81.55861975,0.6566203239561704,-0.002995931325932719,265.7308207959701,-1.2114207795586998,67.60414802911306,69.31497232110644,48.63570447999999,48.03668191,10.332644138400001,12.986136829400001,1708.2870621560376,1713.278810064935,87.25909763404046,87.02500213401623,18.37899780273437,17.465591430664066,18.3743896484375,17.367385864257812,267.3746015556762,252.08913364765675,-41.3571609216,-1.1844150959999953,1.0831577954000051,-4.1132830456,0.16502656419999973,4.911685910099999,14852.034120734896,4526.9000000000015,0,35,13.45602,1,118,6.554179999999999,1,358.23,161.83,340.93842984664667,5.608691671498759,-0.582293160802026,-1.6719260231330295,-0.3125095370342112,0.0,0.04956205938901954,-0.0028077028717917478,0.7598803674428536,-0.23364970854823494,-0.02563554795983769,-0.008301034577471254,-0.23816644795068256,-1.6367687002166813,-0.3125095370342112,-0.011719107638782918,14257,14252,145.0,0.28700000000000003,184.75,1632,-0.5,4.0
196,322:21:54:28.250000,1098.75,8,5,0.8086528199999989,-0.342476989999998,-0.5808170869863731,0.567008690091723,0.3726933566562369,0.3434094861779995,0.7023823832420408,-0.25675752465935275,1.93677268,3.413151060000001,8.236808050000006,4.823656990000006,-57.76708294999999,-81.55861975,0.635935691880332,-0.002995931325932719,257.3962075846981,-1.21147785662559,67.31607671396138,69.21895615784234,48.62253795999999,48.03234278000002,10.3318659453,12.985813716,1711.7041904092553,1713.3715249742954,87.4301415007657,86.97727361365021,18.37899780273437,17.465591430664066,18.3743896484375,17.367385864257812,267.3746015556762,252.08913364765675,-41.3571609216,-1.2566911792000042,1.0831577954000051,-4.1134226991,0.16520180679999985,4.911980225299999,14857.939632545915,4528.7,0,35,13.467339999999998,1,118,6.55461,1,358.22,161.63,340.93842984664667,5.3230384228034255,-0.6372264778588209,-1.4883266701254307,-0.3125095370342112,-0.011719107638782918,0.04956205938901954,-0.000244148075807978,0.7543870357371741,-0.24170659504989825,-0.02075258644367813,-0.010376293221839066,-0.244392223883786,-1.4883266701254307,-0.3125095370342112,-0.03125095370342112,14262,14258,144.75,0.28675,184.5625,1632,-0.5,4.0
197,322:21:54:28.650000,1099.15,8,5,0.8396553000000003,-0.4348297599999995,-0.5644537858106105,0.567008690091723,0.3731499867818506,0.3465789203804999,0.7002144484845925,-0.2529667595046021,1.93391585,3.3579136800000007,8.22835102000002,4.870437340000017,-57.76708294999999,-81.55861975,0.6426847384995494,-0.002995931325932719,260.1401424203304,-1.2115920107593705,67.22005294224418,69.02692383131412,48.43820667999998,47.90216888000001,10.3209712419,12.976120314000001,1709.5784238660906,1711.4266167567569,87.3659215278203,86.91371696504689,18.36859130859375,17.45989990234375,18.364898681640625,17.36029052734375,267.3746015556762,252.08913364765675,-41.3571609216,-1.2818306863999993,1.0844101691000034,-4.1116072036,0.1674799605999997,4.916689268499999,14868.438320209958,4531.9000000000015,0,35,13.48976,1,118,6.55545,1,358.2,161.36,340.93842984664667,4.7572252571184395,-0.7580797753837698,-1.3984801782280951,-0.3242286446729941,-0.01562547685171056,0.04760887478255572,-0.0009765923032319119,0.7563402203436379,-0.2465895565660578,-0.013183996093630813,-0.010986663411359012,-0.2431714835047461,-1.4180120242927332,-0.3203222754600665,-0.04687643055513167,14273,14269,144.5,0.286125,184.1875,1632,-0.5,4.0
198,322:21:54:29.050000,1099.55,8,5,0.8405164799999981,-0.4702172699999991,-0.5544896543945381,0.567008690091723,0.3734543774364436,0.3455224653119995,0.7002144484845925,-0.2529667595046021,1.93242533,3.430726590000001,8.242446069999998,4.811719479999999,-57.76708294999999,-81.55861975,0.6492994963962923,-0.002995931325932719,262.81760456973836,-1.21153493369248,67.22005294224418,69.12293999457822,48.32848568,47.89349062,10.3144862994,12.9754740872,1712.2596079173652,1713.0007255315695,87.21644118545677,86.98257419708695,18.359695434570316,17.455291748046875,18.355392456054688,17.355392456054688,267.3746015556762,252.08913364765675,-41.3571609216,-1.2504063023999947,1.080653048000002,-4.1103503221,0.16642850499999984,4.915659165299999,14873.031496062977,4533.3,0,35,13.50087,1,118,6.55587,1,358.18,161.26,340.9164568551154,4.180425428022092,-0.8789330729087184,-1.4844203009125032,-0.29688406018250063,-0.08203375347148045,0.04834131900997965,-0.0015869624927518573,0.7510910367137664,-0.2468337046418658,-0.006347849971007429,-0.007324442274239342,-0.2430494094668421,-1.4727011932737202,-0.27735221411786243,-0.10547196874904627,14282,14277,144.25,0.285625,183.875,1600,-0.5,4.0
199,322:21:54:29.450000,1099.95,8,5,0.8362105799999994,-0.34938186999999843,-0.5687232331448484,0.567008690091723,0.3737587445513535,0.35714220612050074,0.6908188983607619,-0.2415943529701501,1.94857263,3.2976547200000006,8.180427850000001,4.88277313,-57.76708294999999,-81.55861975,0.6429576707445483,-0.002995931325932719,260.28736836573205,-1.211649087826261,66.9319816270925,68.93090766805,48.36798524,47.78501237,10.3168208787,12.9673962522,1712.4448271945485,1714.3920516569199,87.33384690693262,86.95607773851592,18.352294921875,17.450592041015625,18.348388671875,17.351287841796875,267.3746015556762,252.08913364765675,-41.3571609216,-1.2535487407999997,1.0819054217,-4.110071015100001,0.16590277720000035,4.914923377299999,14880.577427821503,4535.6,0,35,13.52325,1,118,6.556729999999999,1,358.1500000000001,161.1,340.8780041199358,3.587145603808707,-0.9887997070223082,-1.4844203009125032,-0.2812585833307901,-0.13281655323953975,0.048463393047883635,-0.004028443250831636,0.7514572588274784,-0.24829859309671365,0.001098666341135901,-0.016968291268654474,-0.2471999267555777,-1.4844203009125032,-0.3007904293954283,-0.1757866145817438,14288,14285,144.0,0.285375,183.6875,1536,-0.5,4.0
